ip,domain
103.245.223.129,ads.gawker.com
103.245.223.131,athena-ads.wikia.com
103.245.223.192,ads.gawker.com
103.245.223.194,athena-ads.wikia.com
103.31.6.184,ads.imgur.com
103.31.6.32,ads.imgur.com
103.31.6.33,ads.imgur.com
103.31.6.34,ads.imgur.com
103.31.6.35,ads.imgur.com
103.31.6.36,ads.imgur.com
103.31.6.4,ads.imgur.com
103.31.6.5,ads.imgur.com
103.31.6.6,ads.imgur.com
103.31.7.184,ads.imgur.com
103.31.7.31,ads.imgur.com
103.31.7.32,ads.imgur.com
103.31.7.33,ads.imgur.com
103.31.7.34,ads.imgur.com
103.31.7.35,ads.imgur.com
103.31.7.4,ads.imgur.com
103.31.7.5,ads.imgur.com
106.186.21.27,99count.com
106.187.45.197,99count.com
107.1.218.112,tracking101.com
107.20.140.119,rapidcounter.com
107.20.144.200,rapidcounter.com
107.20.150.214,netshelter.net
107.20.165.101,hightrafficads.com
107.20.170.67,kissmetrics.com
107.20.172.247,ads.supplyframe.com
107.20.182.114,freelogs.com
107.20.187.182,rapidcounter.com
107.20.192.122,pcash.imlive.com
107.20.206.69,scopelight.com
107.20.210.46,freelogs.com
107.20.223.131,chartbeat.com
107.20.229.0,pcash.imlive.com
107.20.248.225,ads.supplyframe.com
107.20.250.140,adk2.com
107.20.253.26,directivepub.com
107.21.100.192,ads.imgur.com
107.21.108.211,ads.tahono.com
107.21.110.141,rapidcounter.com
107.21.120.42,cpxinteractive.com
107.21.202.145,budsinc.com
107.21.236.39,adk2.com
107.21.247.135,rapidcounter.com
107.21.247.218,rapidcounter.com
107.21.249.192,ads.imgur.com
107.21.249.25,ads.imgur.com
107.21.249.38,ads.imgur.com
107.21.251.222,ads.imgur.com
107.21.92.233,rapidcounter.com
107.21.95.174,directorym.com
107.21.95.48,netshelter.net
107.22.161.177,retargeter.com
107.22.161.53,ads.shopstyle.com
107.22.174.69,hopfeed.com
107.22.182.17,rapidcounter.com
107.22.193.46,hightrafficads.com
107.22.20.174,trafficswarm.com
107.22.211.212,netshelter.net
107.22.213.178,kissmetrics.com
107.22.218.51,hightrafficads.com
107.22.231.138,twittad.com
107.22.240.237,rapidcounter.com
107.22.246.83,pcash.imlive.com
107.22.250.156,pcash.imlive.com
107.22.251.105,ads.imgur.com
107.22.252.153,ads.shopstyle.com
107.22.253.9,kissmetrics.com
107.23.168.79,ads.gamespyid.com
107.23.18.192,ads.gamespyid.com
108.162.192.171,trafficz.net
108.162.192.67,trafficz.net
108.162.193.171,trafficz.net
108.162.193.67,trafficz.net
108.162.193.94,mystat.pl
108.162.194.105,trafficz.net
108.162.194.161,mystat.pl
108.162.194.164,gamesites200.com
108.162.194.167,joetec.net
108.162.194.177,mystat.pl
108.162.194.211,trafficz.net
108.162.194.45,mystat.pl
108.162.194.64,gamesites200.com
108.162.195.105,trafficz.net
108.162.195.116,trafficz.net
108.162.195.16,trafficz.net
108.162.195.161,mystat.pl
108.162.195.167,joetec.net
108.162.195.177,mystat.pl
108.162.195.197,mystat.pl
108.162.195.211,trafficz.net
108.162.195.45,mystat.pl
108.162.198.193,mystat.pl
108.162.198.233,trafficz.net
108.162.198.89,trafficz.net
108.162.198.94,proton-tm.com
108.162.198.98,mystat.pl
108.162.199.175,trafficz.net
108.162.199.233,trafficz.net
108.162.199.75,trafficz.net
108.162.199.89,trafficz.net
108.162.199.94,proton-tm.com
108.162.203.134,gamesites200.com
108.162.203.253,trafficz.com
108.162.203.6,gamesites200.com
108.162.204.134,gamesites200.com
108.162.204.253,trafficz.com
108.162.204.6,gamesites200.com
108.162.205.134,gamesites200.com
108.162.205.6,gamesites200.com
108.162.206.134,gamesites200.com
108.162.206.6,gamesites200.com
108.162.207.134,gamesites200.com
108.163.163.194,enquisite.com
108.163.167.66,openx.blindferret.com
108.166.121.41,ad-tech.com
108.166.79.51,metanetwork.com
108.168.132.186,ads.digital-digest.com
108.168.160.69,ad4game.com
108.168.170.82,spot.fitness.com
108.168.218.164,woopra.com
108.168.218.168,woopra.com
108.168.218.175,woopra.com
108.168.218.176,woopra.com
108.168.218.180,woopra.com
108.171.187.106,clickhouse.com
108.171.187.29,globaltakeoff.net
108.60.149.204,admarketplace.net
108.61.16.85,ad.abum.com
108.61.4.52,mediacharger.com
108.61.5.242,assets1.exgfnetwork.com
108.61.5.243,assets1.exgfnetwork.com
109.123.194.85,clickthrutraffic.com
109.123.74.252,dc-storm.com
109.123.89.175,clickcompare.co.uk
109.163.234.50,webseoanalytics.com
109.169.13.178,sid-ads.com
109.201.131.15,thebugs.ws
109.205.184.118,specificmedia.co.uk
109.205.184.32,specificmedia.co.uk
109.205.184.67,specificmedia.co.uk
109.205.186.118,adviva.net
109.205.186.32,specificmedia.co.uk
109.205.186.67,specificmedia.co.uk
109.205.76.16,potenza.cz
109.234.109.20,pr-star.de
109.234.109.21,pr-star.de
109.234.109.80,pr-star.de
109.235.249.19,go-clicks.de
109.235.59.104,ad2flash.com
109.237.130.62,bannercommunity.de
109.237.138.40,pagerank4you.com
109.68.230.160,ad2games.com
109.71.162.230,awempire.com
109.74.202.6,usapromotravel.com
110.75.186.130,v1.cnzz.com
110.75.186.131,v1.cnzz.com
110.75.186.132,v1.cnzz.com
110.75.186.133,v1.cnzz.com
110.75.186.134,v1.cnzz.com
110.75.186.135,v1.cnzz.com
110.75.186.136,v1.cnzz.com
110.75.186.137,v1.cnzz.com
110.75.186.138,v1.cnzz.com
110.75.186.139,v1.cnzz.com
110.75.187.7,v1.cnzz.com
110.75.200.3,dmtracking.alibaba.com
111.171.193.53,ad.a8.net
111.171.195.164,ad.a8.net
111.223.33.103,ads.bumq.com
112.121.185.190,n69.com
112.140.42.24,x6.yakiuchi.com
112.175.233.250,adimg1.chosun.com
112.175.255.100,adimg1.chosun.com
112.175.255.20,adimg1.chosun.com
112.175.255.21,adimg1.chosun.com
112.175.255.32,adimg1.chosun.com
112.175.255.33,adimg1.chosun.com
112.78.196.110,clicklink.jp
113.107.107.39,ads8.com
113.107.42.34,js.users.51.la
113.107.96.156,v1.cnzz.com
113.107.96.157,v1.cnzz.com
113.11.203.92,ads8.com
114.112.176.12,js.users.51.la
114.112.176.21,js.users.51.la
114.112.176.218,js.users.51.la
114.112.176.88,js.users.51.la
114.80.101.42,ip193.cn
114.80.101.52,ip193.cn
115.112.200.66,campaign.bharatmatrimony.com
115.182.49.13,v1.cnzz.com
115.182.49.14,v1.cnzz.com
115.182.49.17,v1.cnzz.com
115.182.49.18,v1.cnzz.com
115.182.49.19,v1.cnzz.com
115.182.49.20,v1.cnzz.com
115.182.49.21,v1.cnzz.com
115.182.49.22,v1.cnzz.com
115.182.49.27,v1.cnzz.com
115.182.49.8,v1.cnzz.com
115.238.137.240,v1.cnzz.com
115.238.137.250,v1.cnzz.com
115.239.210.151,eiv.baidu.com
116.255.144.68,ads8.com
116.255.144.69,ads8.com
116.255.144.71,ads8.com
116.255.144.72,ads8.com
116.255.144.73,ads8.com
116.55.241.240,v1.cnzz.com
116.55.241.250,v1.cnzz.com
117.135.134.17,ip193.cn
117.135.134.88,ip193.cn
117.21.191.223,js.users.51.la
117.21.224.236,js.users.51.la
117.21.227.34,js.users.51.la
117.21.227.47,js.users.51.la
117.27.140.240,v1.cnzz.com
117.27.140.250,v1.cnzz.com
117.41.235.38,js.users.51.la
117.79.224.130,ads8.com
117.79.224.131,ads8.com
117.79.224.132,ads8.com
118.107.163.237,counter.nowlinux.com
118.123.202.240,v1.cnzz.com
118.123.202.250,v1.cnzz.com
118.127.5.199,adserver.flossiemediagroup.com
118.127.5.201,adserver.flossiemediagroup.com
118.145.5.13,v1.cnzz.com
118.145.5.14,v1.cnzz.com
118.145.5.17,v1.cnzz.com
118.145.5.19,v1.cnzz.com
