ipdest,Router,Samsung Phone,Echo,Laptop
Linode,0,0,0,16
"Akamai International, BV",0,0,0,7
Twitter Inc.,0,0,0,2
CloudFront DUB6,0,0,0,6
Amazon Technologies Inc.,0,0,437,0
"Akamai International, BV",0,0,0,17
Akamai Technologies,0,0,0,8
Microsoft Corporation,0,0,0,3
Valve Corporation,0,0,0,13
Google LLC,0,0,0,38
Amazon Technologies Inc.,0,0,0,33
"Akamai International, BV",0,0,0,6
239.255.255.250,0,0,0,4
Amazon Technologies Inc.,0,0,0,22
ZOHO,0,0,0,3
Amazon Technologies Inc.,0,0,0,12
"Level 3 Parent, LLC",0,0,0,2
ZOHO,0,0,0,3
Amazon Technologies Inc.,0,0,3,0
0,2,1,0,2
"Automattic, Inc",0,0,0,6
Akamai Technologies,0,0,0,49
"U.S. COLO, LLC",0,0,0,21
Microsoft Corporation,0,0,0,6
Microsoft Corporation,0,0,0,33
